OID_,OID1,given_address,lat,lon,formatted,housenumber,street,name,suburb,postcode,city,county,state,state_code,country,country_code,confidence,confidence_street_level,confidence_city_level,attribution,attribution_license,attribution_url,Company,Address,ObjectID,Shop,Powerade_Gatorade,Orange,Hot_Chocolate,Cookies,Pretzel_Bites,Popcorn,Ice_Cream,Frozen_Drinks,Sell_Bags_of_Ice,Iced_Tea,Italian_Sodas,Kids_Drinks,Smallest_Size,F16_oz__Base_Price,ObjectID_1
1,,"499S 500E Suite E American Fork, UT 84003",40.376806400000000,-111.795914600000003,"American Fork, UT 84003, United States of America",,,,,84003,American Fork,Utah County,Utah,UT,United States,us,0.250000000000000,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Fiiz Drinks,"499S 500E Suite E American Fork, UT 84003",1,Fiiz Drinks,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,16 oz.,1.980000000000000,1
2,,"45W 400N Bountiful, UT 84010",40.889461099999998,-111.880481700000004,"Bountiful, UT 84010, United States of America",,,,,84010,Bountiful,Davis County,Utah,UT,United States,us,0.250000000000000,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Fiiz Drinks,"45W 400N Bountiful, UT 84010",2,Fiiz Drinks,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,16 oz.,1.980000000000000,2
3,,"75E 200S Bountiful, UT 84010",40.889461099999998,-111.880481700000004,"Bountiful, UT 84010, United States of America",,,,,84010,Bountiful,Davis County,Utah,UT,United States,us,0.250000000000000,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Fiiz Drinks,"75E 200S Bountiful, UT 84010",3,Fiiz Drinks,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,16 oz.,1.980000000000000,3
4,,"894W 1150S Brigham City, UT 84302",41.503177549999997,-112.024845400000004,"Brigham City, UT 84302, United States of America",,,Brigham City,,84302,Brigham City,Box Elder County,Utah,UT,United States,us,0.250000000000000,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Fiiz Drinks,"894W 1150S Brigham City, UT 84302",4,Fiiz Drinks,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,16 oz.,1.980000000000000,4
5,,"392 N Cross Hollow Rd Cedar City, UT 84721",37.678227999999997,-113.108286000000007,"11 North Cross Hollow Road, Cedar City, UT 84720, United States of America",11,North Cross Hollow Road,,,84720,Cedar City,Iron County,Utah,UT,United States,us,0.500000000000000,1.000000000000000,1,© OpenAddresses contributors,BSD-3-Clause License,,Fiiz Drinks,"392 N Cross Hollow Rd Cedar City, UT 84721",5,Fiiz Drinks,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,16 oz.,1.980000000000000,5
6,,"28E 450N Ephraim, UT 84627",39.359684199999997,-111.586304999999996,"Ephraim, UT 84627, United States of America",,,,,84627,Ephraim,Sanpete County,Utah,UT,United States,us,0.250000000000000,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Fiiz Drinks,"28E 450N Ephraim, UT 84627",6,Fiiz Drinks,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,16 oz.,1.980000000000000,6
7,,"121 N East Promontory Farmington, UT 84025",40.983148000000000,-111.906744000000003,"121 North East Promontory, Farmington, UT 84025, United States of America",121,North East Promontory,,,84025,Farmington,Davis County,Utah,UT,United States,us,1.000000000000000,1.000000000000000,1,© OpenAddresses contributors,BSD-3-Clause License,,Fiiz Drinks,"121 N East Promontory Farmington, UT 84025",7,Fiiz Drinks,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,16 oz.,1.980000000000000,7
8,,"920S UT-99 Fillmore, UT 84631",38.968852400000003,-112.323548700000003,"Fillmore, UT 84631, United States of America",,,,,84631,Fillmore,Millard County,Utah,UT,United States,us,0.250000000000000,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Fiiz Drinks,"920S UT-99 Fillmore, UT 84631",8,Fiiz Drinks,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,16 oz.,1.980000000000000,8
9,,"13308S 5600W Herriman, UT 84096",40.513978399999999,-112.032908599999999,"Herriman, UT 84096, United States of America",,,,,84096,Herriman,Salt Lake County,Utah,UT,United States,us,0.250000000000000,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Fiiz Drinks,"13308S 5600W Herriman, UT 84096",9,Fiiz Drinks,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,16 oz.,1.980000000000000,9
10,,"5517W 11000N Highland, UT 84003",40.380180439999997,-111.791439499999996,"American Fork, UT 84003, United States of America",,,American Fork,,84003,American Fork,Utah County,Utah,UT,United States,us,0.250000000000000,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Fiiz Drinks,"5517W 11000N Highland, UT 84003",10,Fiiz Drinks,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,16 oz.,1.980000000000000,10
